[Header]
TITLE,ML_PPMS_08212020_1_MKS-Bi2WO6-flux-HC-2-300K-hc_2.80mg.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,2.80,MASS:Sample Mass (mg)
INFO,0.2,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
20218461.25,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1074_1.cal|Addenda #294 measured on 8/21/2020 from 1.989 to 298.34 K
20218461.48,,5905,2.01069,1.9857,-0.07,9.3E-6,1.9950219,0.020507807,0.026075653,0.001193,0.2221182,0.0007493,0.24819385,0.0009286,2.5339751,0.14492432,,,,,1,,,,1.7125756E-6,0.4472468,3.9801125,0.013070359,0
20218479.75,,5905,2.00914,1.9845,-0.07,9.2E-6,1.9934928,0.020170054,0.027319813,0.001163,0.22178838,0.0007447,0.2491082,0.0008928,3.6283737,0.14524047,,,,,1,,,,1.7151431E-6,0.43477296,3.9740136,0.013704495,0
20218497.84,,5905,2.0085,1.984,-0.07,9.4E-6,1.9926172,0.020152086,0.027270952,0.00122,0.22158805,0.0007418,0.248859,0.0009679,5.2259911,0.14394061,,,,,1,,,,1.7289005E-6,0.43572142,3.9705235,0.013685996,0
20218686.28,,5905,2.15783,2.1353,-0.07,9.2E-6,2.1360457,0.020797041,0.033820873,0.001578,0.25603098,0.001088,0.28985186,0.001143,1.8024825,0.15648682,,,,,1,,,,1.8522445E-6,0.43182183,4.5626912,0.015833403,0
20218705.38,,5905,2.15707,2.1345,-0.07,9.2E-6,2.1356914,0.0216598,0.034969253,0.001536,0.25591926,0.001087,0.29088852,0.001085,3.7993581,0.15757292,,,,,1,,,,1.8460565E-6,0.46946047,4.5611778,0.016373739,0
20218724.27,,5905,2.15678,2.1342,-0.07,9.4E-6,2.1348152,0.021665378,0.033704012,0.001542,0.25566777,0.001086,0.28937178,0.001094,1.9474647,0.15564796,,,,,1,,,,1.8591427E-6,0.47271876,4.5574361,0.015787789,0
20218913.48,,5905,2.31957,2.3011,-0.07,9.3E-6,2.2930278,0.02206225,0.04088902,0.004539,0.2986948,0.00118,0.33958382,0.004383,0.099135773,0.1660778,,,,,1,,,,2.0447274E-6,0.46694389,5.2579765,0.01783189,0
20218932.08,,5905,2.31898,2.3018,-0.07,9.3E-6,2.2938662,0.02271452,0.036831077,0.002112,0.2988919,0.00118,0.33572298,0.001751,0.38131872,0.16278466,,,,,1,,,,2.0623748E-6,0.4982334,5.2618221,0.016056332,0
20218956.92,,5905,2.31856,2.3013,-0.07,9.2E-6,2.2933238,0.022770116,0.045035294,0.002817,0.29877539,0.00118,0.34381069,0.002558,0.44417853,0.17374519,,,,,1,,,,1.9788214E-6,0.48835398,5.2593339,0.019637565,0
