[Header]
TITLE,ML_PPMS_20200809_MKS_LP_unox_BWO_5pt14mg_HC_2-300K_0T.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5.14,MASS:Sample Mass (mg)
INFO,0.01,MASSERR:Sample Mass Error (mg)
INFO,697.80,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
19147371.86,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1074_1.cal|Addenda #292 measured on 8/8/2020 from 1.9802 to 298.26 K
19147371.98,,5905,2.00023,1.9842,0.009,9.4E-6,1.9808261,0.020746621,0.028770527,0.001074,0.26625903,0.0007234,0.29502956,0.000794,2.3887366,0.17470003,,,,,1,,,,1.6887779E-6,0.53927548,3.9236719,0.01452451,0
19147389.58,,5905,1.99992,1.9839,0.009,9.3E-6,1.9799804,0.020354417,0.029322967,0.001032,0.26602669,0.0007223,0.29534966,0.0007367,2.8142182,0.17392796,,,,,1,,,,1.6981149E-6,0.5241001,3.9203222,0.014809726,0
19147407.69,,5905,2.00046,1.9841,0.009,9.3E-6,1.9805033,0.02039426,0.028946194,0.001079,0.26617848,0.000723,0.29512467,0.0008013,2.9294286,0.17476511,,,,,1,,,,1.6886933E-6,0.52178387,3.9223934,0.014615575,0
19147687.38,,5905,2.15318,2.1459,0.009,9.2E-6,2.1449439,0.021470239,0.045096991,0.002794,0.31832175,0.0009361,0.36341874,0.002633,1.1061686,0.20756411,,,,,1,,,,1.7508747E-6,0.52429532,4.6007845,0.021024788,0
19147705.95,,5905,2.15335,2.1469,0.009,9.3E-6,2.1446528,0.02260208,0.043178736,0.004037,0.31806643,0.0009352,0.36124517,0.003927,0.080994035,0.19443691,,,,,1,,,,1.8579043E-6,0.62269234,4.5995356,0.020133206,0
19147726.86,,5905,2.15298,2.146,0.009,9.3E-6,2.1443326,0.022015819,0.041857811,0.002322,0.31800599,0.000935,0.35986381,0.002126,0.2077861,0.19445286,,,,,1,,,,1.8506481E-6,0.58331072,4.5981622,0.019520205,0
19147923.41,,5905,2.31538,2.3148,0.009,9.3E-6,2.3002458,0.02250724,0.046897436,0.002661,0.37746122,0.001128,0.42435866,0.00241,0.25617664,0.21033616,,,,,1,,,,2.017526E-6,0.58335858,5.2911309,0.02038801,0
19147945.52,,5905,2.31563,2.3152,0.009,9.4E-6,2.299239,0.023307673,0.050082146,0.001624,0.37699811,0.001127,0.42708026,0.00117,0.22583966,0.21210679,,,,,1,,,,2.0135153E-6,0.63100847,5.2865,0.021782053,0
19147964.73,,5905,2.31582,2.3164,0.009,9.4E-6,2.299325,0.023362074,0.05000792,0.002783,0.37700498,0.001127,0.4270129,0.002545,0.12675444,0.21119074,,,,,1,,,,2.02193E-6,0.63632036,5.2868956,0.021748957,0
