[Header]
TITLE,ML_PPMS_20200818_2_MKS-Bi2WO6-oxidized LDFZ xtal_4.99 mg-HC-2-300K_0T.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.99,MASS:Sample Mass (mg)
INFO,0.2,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
19978769.36,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1010_1.cal|Addenda #61 measured on 8/17/2020 from 2.0477 to 301.56 K
19978769.59,,5905,,2.0019,0.056,9.3E-6,2.0423547,0.020697717,0.033897742,0.002552,0.16960271,0.001262,0.20350045,0.002218,0.13030535,0.12419365,,,,,1,,,,1.6385737E-6,0.32172555,4.1712128,0.016597382,0
19978797.05,,5905,,2.0015,0.056,9.3E-6,2.042963,0.02238498,0.034134177,0.001792,0.16968701,0.001266,0.20382119,0.001269,0.21371639,0.12550339,,,,,1,,,,1.6240293E-6,0.37258096,4.173698,0.016708172,0
19978818.3,,5905,,2.0014,0.056,9.4E-6,2.0436496,0.022371322,0.033346188,0.00263,0.16979321,0.001271,0.2031394,0.002302,0.11099046,0.12334549,,,,,1,,,,1.6469139E-6,0.37651018,4.1765037,0.016316979,0
19978950.3,,5905,,2.1512,0.056,9.4E-6,2.1931716,0.02253377,0.036876127,0.002096,0.20141633,0.001974,0.23829246,0.0007035,0.26158643,0.12854534,,,,,1,,,,1.853762E-6,0.37003648,4.8100015,0.016814064,0
19978968.11,,5905,,2.1512,0.056,9.4E-6,2.1932468,0.023015356,0.037966593,0.002489,0.20142151,0.001974,0.2393881,0.001515,2.486261,0.12984252,,,,,1,,,,1.8436803E-6,0.38563601,4.8103316,0.01731068,0
19978989.48,,5905,,2.1519,0.056,9.2E-6,2.1940532,0.023074439,0.036539774,0.002879,0.20156854,0.001975,0.23810831,0.002095,0.56606457,0.12751829,,,,,1,,,,1.8672483E-6,0.38952756,4.8138696,0.016654005,0
19979124.8,,5905,,2.316,0.056,9.3E-6,2.3571724,0.026185532,0.040094041,0.002682,0.23983985,0.001593,0.27993389,0.002682,0.056996605,0.13477031,0.00057524782,96.633929,,,1,,,,2.0786091E-6,0.38255487,5.5562618,0.01700938,0
19979144,,5905,,2.3163,0.056,9.4E-6,2.3560344,0.024043351,0.05050616,0.002862,0.23995906,0.00159,0.29046522,0.00238,0.33351042,0.14574925,,,,,1,,,,1.9929105E-6,0.40431092,5.5508982,0.021436936,0
19979162.53,,5905,,2.3166,0.056,9.3E-6,2.3566682,0.025053018,0.049479448,0.001588,0.24008631,0.001588,0.28956576,0,0.50246377,0.14596557,,,,,1,,,,1.983795E-6,0.43724776,5.5538852,0.020995508,0
19979295.09,,5905,,2.4923,0.056,9.3E-6,2.5278922,0.02527427,0.057262401,0.004298,0.28577906,0.001007,0.34304146,0.004178,0.034957913,0.15356664,,,,,1,,,,2.233828E-6,0.43789671,6.3902388,0.022652232,0
19979322.5,,5905,,2.4936,0.056,9.4E-6,2.5302042,0.02639452,0.065545268,0.005281,0.28645708,0.001006,0.35200235,0.005184,0.1066947,0.16639131,,,,,1,,,,2.1155093E-6,0.46069993,6.4019333,0.025905129,0
19979341.72,,5905,,2.4896,0.056,9.4E-6,2.5294923,0.026909672,0.057004392,0.004157,0.28615936,0.001007,0.34316376,0.004034,0.041944967,0.15433838,,,,,1,,,,2.2234506E-6,0.49917392,6.3983311,0.022535903,0
19979482.55,,5905,,2.6798,0.056,9.3E-6,2.7392417,0.026684655,0.079206315,0.002063,0.34998097,0.001603,0.42918729,0.001299,1.8955932,0.18055927,,,,,1,,,,2.3769884E-6,0.46301514,7.5034453,0.028915416,0
19979500.61,,5905,,2.6807,0.056,9.3E-6,2.7406334,0.02882717,0.081056646,0.002019,0.35033839,0.001608,0.43139504,0.00122,1.1863826,0.18228968,,,,,1,,,,2.3665358E-6,0.54167782,7.5110715,0.02957588,0
19979518.92,,5905,,2.6781,0.056,9.3E-6,2.7422833,0.031234067,0.065818543,0.001678,0.35035655,0.001608,0.41617509,0.001678,8.6471502,0.16762132,0.00047144558,97.929057,,,1,,,,2.4841461E-6,0.54686903,7.5201175,0.024001365,0
