wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
399.471,0.316159,0.240826,0.33871,0.37037,0.463134,0.322506,0.309469,0.334895,0.379391,0.361111
401.098,0.283465,0.347409,0.434109,0.350806,0.399225,0.316406,0.277344,0.322835,0.431102,0.287109
402.725,0.28201,0.329094,0.4128,0.344156,0.3904,0.2448,0.308943,0.270665,0.397083,0.306947
404.351,0.27628,0.247989,0.349933,0.287075,0.403769,0.24834,0.298103,0.239892,0.254717,0.272237
405.978,0.213134,0.226244,0.380298,0.288018,0.325315,0.247696,0.291954,0.217742,0.329493,0.231034
407.605,0.2,0.27934,0.339549,0.293942,0.298332,0.207436,0.266208,0.206897,0.272906,0.254671
409.232,0.20339,0.211185,0.29789,0.278385,0.320675,0.203704,0.325995,0.179661,0.264407,0.194772
410.858,0.202198,0.231716,0.31351,0.277126,0.306902,0.244396,0.244526,0.207326,0.268864,0.20571
412.485,0.180824,0.190536,0.339103,0.248236,0.301282,0.182631,0.237484,0.184041,0.29408,0.198973
414.112,0.195442,0.248031,0.257094,0.296928,0.295119,0.191742,0.254094,0.173219,0.283191,0.202503
415.738,0.183704,0.221386,0.278203,0.240223,0.289944,0.178771,0.266088,0.189271,0.281883,0.194388
417.365,0.193088,0.218835,0.290868,0.247361,0.251142,0.206786,0.281064,0.170046,0.237327,0.188853
418.992,0.187026,0.203727,0.270711,0.212971,0.253975,0.185356,0.282854,0.18155,0.245998,0.204373
420.619,0.179202,0.214177,0.280783,0.272375,0.286153,0.187835,0.283851,0.17383,0.242517,0.190439
422.245,0.163294,0.205882,0.293268,0.237589,0.311244,0.171127,0.262769,0.166489,0.236422,0.168261
423.872,0.168092,0.20783,0.262435,0.252787,0.295812,0.171074,0.279259,0.175,0.271711,0.186513
425.499,0.19259,0.206657,0.269673,0.239514,0.279358,0.200242,0.283025,0.172382,0.266381,0.186047
427.126,0.195402,0.224254,0.277292,0.253405,0.291396,0.18664,0.275717,0.168966,0.232471,0.193217
